show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,date_added_parsed,year_added,month_added,duration_val,decade
s1,Movie,Title 0000,Director_065,"Actor_164, Actor_004, Actor_283",United States,"December 09, 2022",2017,NR,158 min,"Documentaries, International Movies, Stand-Up Comedy",2022-12-09,2022,12,158.0,2010s
s2,TV Show,Title 0001,Director_142,"Actor_340, Actor_126",India,"July 23, 2017",1991,TV-MA,7 Seasons,"Comedies, Reality TV, Romantic Movies",2017-07-23,2017,7,7.0,1990s
s3,TV Show,Title 0002,Director_071,"Actor_479, Actor_300, Actor_283, Actor_476",Turkey,"June 09, 2020",2021,TV-Y,8 Seasons,"Music & Musicals, Kids TV",2020-06-09,2020,6,8.0,2020s
s4,Movie,Title 0003,Director_115,"Actor_237, Actor_236",United States,"June 19, 2017",2016,PG,139 min,"International Movies, Stand-Up Comedy, Reality TV",2017-06-19,2017,6,139.0,2010s
s5,Movie,Title 0004,Director_120,"Actor_115, Actor_225, Actor_149",India,"September 25, 2019",1989,PG-13,87 min,Dramas,2019-09-25,2019,9,87.0,1980s
s6,Movie,Title 0005,Director_046,"Actor_221, Actor_375, Actor_400, Actor_322, Actor_245",United States,"September 12, 2021",2023,NR,113 min,"Crime TV Shows, Reality TV",2021-09-12,2021,9,113.0,2020s
s7,Movie,Title 0006,Director_089,"Actor_410, Actor_466, Actor_246",South Korea,"October 01, 2018",2013,NR,178 min,Dramas,2018-10-01,2018,10,178.0,2010s
s8,TV Show,Title 0007,Director_039,"Actor_297, Actor_435, Actor_280, Actor_258, Actor_476",Germany,"May 03, 2018",1977,TV-MA,2 Seasons,Dramas,2018-05-03,2018,5,2.0,1970s
s9,Movie,Title 0008,Director_041,"Actor_285, Actor_375, Actor_234",France,"January 24, 2021",2016,R,137 min,International Movies,2021-01-24,2021,1,137.0,2010s
s10,TV Show,Title 0009,Director_178,"Actor_006, Actor_114",Japan,"January 12, 2016",1999,TV-14,8 Seasons,"Action & Adventure, Documentaries, Stand-Up Comedy",2016-01-12,2016,1,8.0,1990s
s11,Movie,Title 0010,Director_034,"Actor_277, Actor_379, Actor_414",Turkey,"November 10, 2019",2020,PG-13,170 min,"Kids TV, Thrillers, Sports Movies",2019-11-10,2019,11,170.0,2020s
s12,TV Show,Title 0011,Director_040,"Actor_159, Actor_125, Actor_361, Actor_195, Actor_360",United Kingdom,"February 14, 2019",2020,TV-14,7 Seasons,Sports Movies,2019-02-14,2019,2,7.0,2020s
s13,TV Show,Title 0012,Director_084,"Actor_404, Actor_099, Actor_221, Actor_460, Actor_218",Nigeria,"June 21, 2018",2023,TV-MA,4 Seasons,Comedies,2018-06-21,2018,6,4.0,2020s
s14,Movie,Title 0013,Director_123,"Actor_405, Actor_401",United States,"April 08, 2022",2013,PG,138 min,"Action & Adventure, International Movies",2022-04-08,2022,4,138.0,2010s
s15,Movie,Title 0014,Director_056,"Actor_311, Actor_002, Actor_108, Actor_200, Actor_237",United States,"October 07, 2017",2011,R,116 min,"Music & Musicals, Anime Series, Sports Movies",2017-10-07,2017,10,116.0,2010s
s16,Movie,Title 0015,Director_037,"Actor_090, Actor_483, Actor_002, Actor_369",France,"March 21, 2022",2019,R,149 min,Action & Adventure,2022-03-21,2022,3,149.0,2010s
s17,Movie,Title 0016,Director_199,"Actor_183, Actor_168, Actor_373, Actor_460, Actor_185",United States,"April 09, 2018",1986,R,176 min,"Kids TV, Horror Movies",2018-04-09,2018,4,176.0,1980s
s18,Movie,Title 0017,Director_095,"Actor_299, Actor_477",Mexico,"May 15, 2018",2014,R,131 min,"Action & Adventure, Dramas, Sports Movies",2018-05-15,2018,5,131.0,2010s
s19,Movie,Title 0018,Director_135,"Actor_227, Actor_287",United States,"March 23, 2018",2014,R,155 min,"Documentaries, Dramas",2018-03-23,2018,3,155.0,2010s
s20,Movie,Title 0019,Director_062,"Actor_316, Actor_014",United Kingdom,"September 26, 2020",1980,PG-13,120 min,"Action & Adventure, Reality TV, Comedies",2020-09-26,2020,9,120.0,1980s
s21,Movie,Title 0020,,"Actor_036, Actor_458",India,"July 31, 2019",2010,R,145 min,Thrillers,2019-07-31,2019,7,145.0,2010s
s22,Movie,Title 0021,Director_131,"Actor_096, Actor_496, Actor_352, Actor_396",United States,"April 12, 2020",2021,NR,151 min,"Reality TV, International Movies",2020-04-12,2020,4,151.0,2020s
s23,Movie,Title 0022,Director_175,"Actor_219, Actor_401, Actor_313, Actor_131, Actor_318",France,"June 22, 2015",2021,R,144 min,Thrillers,2015-06-22,2015,6,144.0,2020s
s24,Movie,Title 0023,Director_051,"Actor_222, Actor_031",Germany,"December 28, 2021",1981,PG-13,114 min,"Kids TV, Thrillers, Sports Movies",2021-12-28,2021,12,114.0,1980s
s25,Movie,Title 0024,Director_037,"Actor_108, Actor_434, Actor_187",India,"September 11, 2021",1980,R,78 min,"Romantic Movies, Documentaries, Dramas",2021-09-11,2021,9,78.0,1980s
s26,TV Show,Title 0025,Director_086,"Actor_041, Actor_039, Actor_155, Actor_138, Actor_061",Canada,"October 21, 2015",2000,TV-MA,8 Seasons,"Reality TV, Crime TV Shows",2015-10-21,2015,10,8.0,2000s
s27,Movie,Title 0026,Director_004,"Actor_300, Actor_482, Actor_044",Japan,"July 05, 2016",2021,PG,80 min,Stand-Up Comedy,2016-07-05,2016,7,80.0,2020s
s28,Movie,Title 0027,Director_119,"Actor_054, Actor_108, Actor_476, Actor_453, Actor_177",Mexico,"January 10, 2019",1985,R,177 min,"Stand-Up Comedy, Dramas, Anime Series",2019-01-10,2019,1,177.0,1980s
s29,Movie,Title 0028,Director_069,"Actor_115, Actor_137, Actor_467, Actor_011",Canada,"December 07, 2022",2018,PG,144 min,"Romantic Movies, Reality TV, Horror Movies",2022-12-07,2022,12,144.0,2010s
s30,Movie,Title 0029,Director_112,"Actor_497, Actor_354, Actor_219, Actor_069, Actor_145",Japan,"November 05, 2017",1982,PG-13,121 min,Music & Musicals,2017-11-05,2017,11,121.0,1980s
s31,Movie,Title 0030,Director_023,"Actor_160, Actor_098",India,"July 21, 2019",2016,PG-13,153 min,Comedies,2019-07-21,2019,7,153.0,2010s
s32,Movie,Title 0031,Director_085,"Actor_028, Actor_293, Actor_198, Actor_117",United States,"June 03, 2017",2007,PG,78 min,Action & Adventure,2017-06-03,2017,6,78.0,2000s
s33,Movie,Title 0032,Director_144,"Actor_220, Actor_151",India,"October 04, 2018",2020,R,93 min,Sci-Fi & Fantasy,2018-10-04,2018,10,93.0,2020s
s34,TV Show,Title 0033,Director_025,"Actor_046, Actor_054, Actor_110, Actor_247, Actor_414",United States,"May 11, 2018",1997,TV-MA,5 Seasons,Kids TV,2018-05-11,2018,5,5.0,1990s
s35,TV Show,Title 0034,Director_002,"Actor_116, Actor_237, Actor_433, Actor_132, Actor_364",India,"May 14, 2015",2016,TV-14,2 Seasons,"International Movies, Action & Adventure, Romantic Movies",2015-05-14,2015,5,2.0,2010s
s36,TV Show,Title 0035,Director_001,"Actor_008, Actor_261, Actor_234, Actor_154, Actor_135",United States,"February 09, 2017",1997,TV-MA,7 Seasons,International Movies,2017-02-09,2017,2,7.0,1990s
s37,Movie,Title 0036,Director_091,"Actor_063, Actor_104, Actor_446, Actor_080",United States,"December 30, 2021",2018,PG-13,93 min,"Sports Movies, International Movies",2021-12-30,2021,12,93.0,2010s
s38,Movie,Title 0037,Director_001,"Actor_460, Actor_259",United States,"December 25, 2017",2021,NR,169 min,"Stand-Up Comedy, International Movies",2017-12-25,2017,12,169.0,2020s
s39,TV Show,Title 0038,Director_149,"Actor_344, Actor_124, Actor_394, Actor_469",India,"April 24, 2016",1985,TV-MA,1 Season,Romantic Movies,2016-04-24,2016,4,1.0,1980s
s40,Movie,Title 0039,Director_070,"Actor_200, Actor_215",United Kingdom,"May 12, 2017",2021,R,74 min,"Anime Series, Horror Movies",2017-05-12,2017,5,74.0,2020s
s41,Movie,Title 0040,Director_003,"Actor_134, Actor_085, Actor_413",United States,"April 03, 2016",2015,R,81 min,"Anime Series, Thrillers",2016-04-03,2016,4,81.0,2010s
s42,Movie,Title 0041,Director_037,"Actor_197, Actor_237, Actor_095, Actor_271, Actor_165",United States,"September 17, 2016",1985,R,143 min,"Horror Movies, Thrillers",2016-09-17,2016,9,143.0,1980s
s43,Movie,Title 0042,Director_102,"Actor_145, Actor_422, Actor_428, Actor_467",Turkey,"June 08, 2015",2010,PG-13,113 min,"Anime Series, Sports Movies, Dramas",2015-06-08,2015,6,113.0,2010s
s44,TV Show,Title 0043,Director_069,"Actor_482, Actor_083",Canada,"January 17, 2021",1989,TV-MA,4 Seasons,"Sci-Fi & Fantasy, Sports Movies",2021-01-17,2021,1,4.0,1980s
s45,Movie,Title 0044,Director_051,"Actor_493, Actor_143, Actor_183, Actor_367, Actor_353",India,"July 01, 2018",2018,R,137 min,Horror Movies,2018-07-01,2018,7,137.0,2010s
s46,Movie,Title 0045,Director_030,"Actor_187, Actor_324, Actor_271, Actor_060, Actor_054",Brazil,"June 30, 2020",2019,PG-13,93 min,Reality TV,2020-06-30,2020,6,93.0,2010s
s47,Movie,Title 0046,Director_153,"Actor_467, Actor_420, Actor_124",United States,"April 04, 2020",1982,R,169 min,"Documentaries, Crime TV Shows",2020-04-04,2020,4,169.0,1980s
s48,Movie,Title 0047,Director_035,"Actor_160, Actor_025, Actor_445",United States,"July 28, 2017",2013,R,98 min,Documentaries,2017-07-28,2017,7,98.0,2010s
s49,Movie,Title 0048,Director_153,"Actor_215, Actor_250, Actor_056",France,"April 22, 2019",2020,R,155 min,"Documentaries, Stand-Up Comedy",2019-04-22,2019,4,155.0,2020s
s50,Movie,Title 0049,Director_155,"Actor_152, Actor_074, Actor_120",Brazil,"January 11, 2021",2022,PG-13,81 min,"Crime TV Shows, Kids TV, Action & Adventure",2021-01-11,2021,1,81.0,2020s
s51,TV Show,Title 0050,Director_132,"Actor_077, Actor_128, Actor_019",Japan,"December 08, 2021",2013,TV-Y7,6 Seasons,"Dramas, International Movies",2021-12-08,2021,12,6.0,2010s
s52,TV Show,Title 0051,Director_114,"Actor_048, Actor_304, Actor_089, Actor_085, Actor_070",Brazil,"March 07, 2016",2023,TV-MA,1 Season,Reality TV,2016-03-07,2016,3,1.0,2020s
s53,TV Show,Title 0052,Director_073,"Actor_151, Actor_267, Actor_011",Brazil,"November 16, 2017",2014,TV-PG,2 Seasons,Reality TV,2017-11-16,2017,11,2.0,2010s
s54,TV Show,Title 0053,Director_017,"Actor_090, Actor_456, Actor_165, Actor_064",France,"September 30, 2017",2009,TV-MA,4 Seasons,Anime Series,2017-09-30,2017,9,4.0,2000s
s55,Movie,Title 0054,Director_014,"Actor_209, Actor_440, Actor_081, Actor_355",United States,"October 15, 2020",2021,PG-13,133 min,"International Movies, Reality TV",2020-10-15,2020,10,133.0,2020s
s56,TV Show,Title 0055,Director_184,"Actor_418, Actor_253, Actor_144, Actor_100, Actor_321",South Korea,"February 02, 2022",2012,TV-MA,8 Seasons,"International Movies, Action & Adventure",2022-02-02,2022,2,8.0,2010s
s57,Movie,Title 0056,Director_096,"Actor_304, Actor_311, Actor_197, Actor_280",Spain,"November 13, 2020",2012,R,77 min,Sports Movies,2020-11-13,2020,11,77.0,2010s
s58,Movie,Title 0057,Director_004,"Actor_490, Actor_103, Actor_363, Actor_030",India,"August 03, 2015",2012,R,104 min,Reality TV,2015-08-03,2015,8,104.0,2010s
s59,Movie,Title 0058,Director_036,"Actor_145, Actor_015",South Korea,"February 19, 2021",2021,PG-13,164 min,Sci-Fi & Fantasy,2021-02-19,2021,2,164.0,2020s
s60,Movie,Title 0059,Director_103,"Actor_356, Actor_464, Actor_221, Actor_032",India,"July 29, 2019",2020,NR,107 min,"Music & Musicals, Horror Movies, International Movies",2019-07-29,2019,7,107.0,2020s
s61,Movie,Title 0060,Director_085,"Actor_386, Actor_056",United States,"August 06, 2018",2009,R,142 min,"Comedies, Romantic Movies, Documentaries",2018-08-06,2018,8,142.0,2000s
s62,Movie,Title 0061,Director_149,"Actor_139, Actor_270, Actor_452, Actor_380",India,"June 03, 2017",2006,R,154 min,"International Movies, Action & Adventure, Sci-Fi & Fantasy",2017-06-03,2017,6,154.0,2000s
s63,TV Show,Title 0062,Director_179,"Actor_176, Actor_373",Japan,"September 17, 2020",2012,TV-MA,6 Seasons,"Anime Series, Documentaries, Kids TV",2020-09-17,2020,9,6.0,2010s
s64,Movie,Title 0063,Director_014,"Actor_186, Actor_477, Actor_498, Actor_102, Actor_416",United States,"March 02, 2020",2015,PG-13,141 min,"Documentaries, Thrillers",2020-03-02,2020,3,141.0,2010s
s65,Movie,Title 0064,Director_016,"Actor_150, Actor_151, Actor_040",India,"July 27, 2017",1997,R,81 min,Action & Adventure,2017-07-27,2017,7,81.0,1990s
s66,Movie,Title 0065,Director_050,"Actor_169, Actor_460, Actor_275, Actor_214",United States,"July 27, 2017",2020,R,134 min,"Horror Movies, Crime TV Shows, Stand-Up Comedy",2017-07-27,2017,7,134.0,2020s
s67,Movie,Title 0066,Director_044,"Actor_180, Actor_050, Actor_384, Actor_333",India,"July 25, 2015",2012,R,115 min,"Reality TV, Sci-Fi & Fantasy, Kids TV",2015-07-25,2015,7,115.0,2010s
s68,TV Show,Title 0067,Director_190,"Actor_467, Actor_386, Actor_374, Actor_369, Actor_490",South Korea,"July 30, 2017",2006,TV-MA,4 Seasons,"Comedies, Music & Musicals, Romantic Movies",2017-07-30,2017,7,4.0,2000s
s69,Movie,Title 0068,Director_121,"Actor_443, Actor_379, Actor_220, Actor_242, Actor_141",United States,"July 08, 2016",1982,PG-13,101 min,Reality TV,2016-07-08,2016,7,101.0,1980s
s70,TV Show,Title 0069,Director_155,"Actor_195, Actor_281",United States,"December 06, 2021",1997,TV-MA,6 Seasons,Thrillers,2021-12-06,2021,12,6.0,1990s
s71,TV Show,Title 0070,Director_186,"Actor_085, Actor_016, Actor_130",Spain,"February 28, 2019",2023,TV-PG,6 Seasons,Reality TV,2019-02-28,2019,2,6.0,2020s
s72,Movie,Title 0071,Director_148,"Actor_029, Actor_140, Actor_219",United Kingdom,"February 09, 2017",2003,R,77 min,Dramas,2017-02-09,2017,2,77.0,2000s
s73,Movie,Title 0072,Director_169,"Actor_360, Actor_049, Actor_292, Actor_140, Actor_189",United Kingdom,"September 06, 2015",1990,PG-13,88 min,"Action & Adventure, International Movies",2015-09-06,2015,9,88.0,1990s
s74,TV Show,Title 0073,Director_196,"Actor_086, Actor_167, Actor_365, Actor_036",South Korea,"January 02, 2018",2011,TV-G,3 Seasons,"Kids TV, Comedies, Dramas",2018-01-02,2018,1,3.0,2010s
s75,TV Show,Title 0074,Director_081,"Actor_435, Actor_028, Actor_430, Actor_148, Actor_181",Mexico,"January 08, 2016",2004,TV-MA,6 Seasons,Dramas,2016-01-08,2016,1,6.0,2000s
s76,TV Show,Title 0075,Director_144,"Actor_179, Actor_461, Actor_304",United States,"January 29, 2020",1970,TV-14,2 Seasons,Kids TV,2020-01-29,2020,1,2.0,1970s
s77,TV Show,Title 0076,Director_195,"Actor_030, Actor_364, Actor_457, Actor_173, Actor_320",United Kingdom,"April 14, 2017",2005,TV-Y7,6 Seasons,"Documentaries, Comedies",2017-04-14,2017,4,6.0,2000s
s78,Movie,Title 0077,Director_134,"Actor_048, Actor_132, Actor_275",Turkey,"December 28, 2022",2014,R,97 min,"Sports Movies, Action & Adventure, Music & Musicals",2022-12-28,2022,12,97.0,2010s
s79,Movie,Title 0078,Director_088,"Actor_468, Actor_133, Actor_387, Actor_188",South Korea,"December 02, 2016",2014,PG-13,130 min,"Anime Series, Stand-Up Comedy",2016-12-02,2016,12,130.0,2010s
s80,Movie,Title 0079,Director_100,"Actor_241, Actor_054, Actor_087, Actor_263, Actor_401",France,"December 25, 2020",2007,R,82 min,Comedies,2020-12-25,2020,12,82.0,2000s
s81,TV Show,Title 0080,Director_039,"Actor_112, Actor_250, Actor_295",United States,"November 09, 2021",2011,TV-MA,1 Season,"Stand-Up Comedy, International Movies, Comedies",2021-11-09,2021,11,1.0,2010s
s82,Movie,Title 0081,Director_167,"Actor_488, Actor_009, Actor_012, Actor_461",Germany,"November 01, 2022",2023,R,130 min,"Anime Series, Sci-Fi & Fantasy",2022-11-01,2022,11,130.0,2020s
s83,Movie,Title 0082,Director_042,"Actor_168, Actor_482, Actor_050",Japan,"November 10, 2022",2008,R,108 min,Comedies,2022-11-10,2022,11,108.0,2000s
s84,Movie,Title 0083,Director_072,"Actor_253, Actor_269",United States,"July 30, 2017",1999,R,162 min,Sci-Fi & Fantasy,2017-07-30,2017,7,162.0,1990s
s85,Movie,Title 0084,Director_178,"Actor_456, Actor_181",India,"October 27, 2021",1998,PG-13,122 min,"Reality TV, Crime TV Shows, Anime Series",2021-10-27,2021,10,122.0,1990s
s86,Movie,Title 0085,Director_022,"Actor_222, Actor_238, Actor_157",India,"July 28, 2021",2011,PG,127 min,"Romantic Movies, Thrillers",2021-07-28,2021,7,127.0,2010s
s87,TV Show,Title 0086,Director_094,"Actor_323, Actor_025, Actor_424, Actor_062, Actor_012",Japan,"September 22, 2017",2019,TV-PG,1 Season,"International Movies, Horror Movies, Kids TV",2017-09-22,2017,9,1.0,2010s
s88,Movie,Title 0087,Director_159,"Actor_123, Actor_455, Actor_133, Actor_181",United States,"March 04, 2017",1994,PG-13,101 min,"Sports Movies, Horror Movies",2017-03-04,2017,3,101.0,1990s
s89,TV Show,Title 0088,Director_158,"Actor_474, Actor_044, Actor_034",Spain,"September 24, 2021",2018,TV-MA,3 Seasons,"Romantic Movies, Dramas, Comedies",2021-09-24,2021,9,3.0,2010s
s90,Movie,Title 0089,Director_016,"Actor_447, Actor_318, Actor_266",India,"November 08, 2016",1967,PG,74 min,International Movies,2016-11-08,2016,11,74.0,1960s
s91,Movie,Title 0090,Director_111,"Actor_390, Actor_256, Actor_065, Actor_178, Actor_289",United States,"December 19, 2019",2010,PG-13,84 min,"Documentaries, International Movies",2019-12-19,2019,12,84.0,2010s
s92,TV Show,Title 0091,Director_102,"Actor_339, Actor_190",United States,"April 11, 2019",2019,TV-14,3 Seasons,"Thrillers, Crime TV Shows",2019-04-11,2019,4,3.0,2010s
s93,TV Show,Title 0092,Director_057,"Actor_330, Actor_419",Spain,"March 28, 2016",2006,TV-PG,1 Season,"Crime TV Shows, Anime Series",2016-03-28,2016,3,1.0,2000s
s94,Movie,Title 0093,Director_085,"Actor_416, Actor_351",India,"October 02, 2021",2014,PG,154 min,"Music & Musicals, Thrillers",2021-10-02,2021,10,154.0,2010s
s95,TV Show,Title 0094,Director_034,"Actor_230, Actor_177, Actor_476",Japan,"November 02, 2021",1994,TV-14,3 Seasons,"Reality TV, Horror Movies, Action & Adventure",2021-11-02,2021,11,3.0,1990s
s96,Movie,Title 0095,Director_029,"Actor_417, Actor_018, Actor_420, Actor_028, Actor_327",South Korea,"February 12, 2018",2019,R,101 min,Horror Movies,2018-02-12,2018,2,101.0,2010s
s97,Movie,Title 0096,Director_191,"Actor_098, Actor_124, Actor_354",United States,"February 20, 2015",1974,PG-13,121 min,Romantic Movies,2015-02-20,2015,2,121.0,1970s
s98,Movie,Title 0097,Director_180,"Actor_078, Actor_328",United States,"October 24, 2018",2021,R,145 min,"Action & Adventure, Documentaries",2018-10-24,2018,10,145.0,2020s
s99,Movie,Title 0098,Director_178,"Actor_210, Actor_131, Actor_167",Germany,"March 19, 2019",1993,PG,99 min,"Thrillers, Sci-Fi & Fantasy, Stand-Up Comedy",2019-03-19,2019,3,99.0,1990s
s100,Movie,Title 0099,Director_103,"Actor_164, Actor_394, Actor_286, Actor_332",Germany,"July 29, 2015",2021,PG-13,137 min,"Sci-Fi & Fantasy, Dramas, Horror Movies",2015-07-29,2015,7,137.0,2020s
s101,Movie,Title 0100,Director_164,"Actor_148, Actor_493, Actor_236",Germany,"June 06, 2017",2007,PG-13,143 min,International Movies,2017-06-06,2017,6,143.0,2000s
s102,Movie,Title 0101,Director_121,"Actor_272, Actor_143, Actor_345, Actor_216",United States,"April 10, 2020",2018,R,93 min,Stand-Up Comedy,2020-04-10,2020,4,93.0,2010s
s103,Movie,Title 0102,Director_133,"Actor_339, Actor_072",France,"April 29, 2017",2005,PG,93 min,"Kids TV, Crime TV Shows, Stand-Up Comedy",2017-04-29,2017,4,93.0,2000s
s104,Movie,Title 0103,Director_033,"Actor_469, Actor_277",Germany,"February 21, 2020",2022,NR,172 min,"Music & Musicals, Dramas, Crime TV Shows",2020-02-21,2020,2,172.0,2020s
s105,TV Show,Title 0104,Director_055,"Actor_411, Actor_365",United States,"September 18, 2016",1985,TV-MA,5 Seasons,"Horror Movies, Sci-Fi & Fantasy, Anime Series",2016-09-18,2016,9,5.0,1980s
s106,Movie,Title 0105,Director_024,"Actor_108, Actor_344",United States,"June 19, 2022",1991,R,163 min,Thrillers,2022-06-19,2022,6,163.0,1990s
s107,Movie,Title 0106,Director_114,"Actor_242, Actor_372, Actor_184, Actor_284, Actor_198",India,"December 29, 2018",2012,R,167 min,Action & Adventure,2018-12-29,2018,12,167.0,2010s
s108,TV Show,Title 0107,Director_012,"Actor_484, Actor_412, Actor_066",United States,"September 25, 2022",1979,TV-14,4 Seasons,"Reality TV, International Movies",2022-09-25,2022,9,4.0,1970s
s109,Movie,Title 0108,Director_062,"Actor_410, Actor_242, Actor_490",Spain,"June 04, 2018",1993,PG-13,112 min,Action & Adventure,2018-06-04,2018,6,112.0,1990s
s110,Movie,Title 0109,Director_101,"Actor_204, Actor_412, Actor_488",United States,"October 24, 2016",2023,R,130 min,Sci-Fi & Fantasy,2016-10-24,2016,10,130.0,2020s
s111,Movie,Title 0110,Director_193,"Actor_175, Actor_160, Actor_283, Actor_091",United States,"September 25, 2015",2023,R,87 min,"Comedies, Sports Movies",2015-09-25,2015,9,87.0,2020s
s112,Movie,Title 0111,Director_121,"Actor_101, Actor_283",India,"December 03, 2020",2008,PG-13,94 min,"Action & Adventure, International Movies, Dramas",2020-12-03,2020,12,94.0,2000s
s113,TV Show,Title 0112,Director_119,"Actor_171, Actor_225, Actor_385",India,"June 12, 2019",2022,TV-MA,8 Seasons,Anime Series,2019-06-12,2019,6,8.0,2020s
s114,TV Show,Title 0113,Director_132,"Actor_163, Actor_339, Actor_426, Actor_383, Actor_239",Nigeria,"January 28, 2020",2014,TV-MA,3 Seasons,Action & Adventure,2020-01-28,2020,1,3.0,2010s
s115,Movie,Title 0114,Director_010,"Actor_260, Actor_494",Mexico,"January 23, 2017",2000,R,105 min,Sports Movies,2017-01-23,2017,1,105.0,2000s
s116,TV Show,Title 0115,Director_108,"Actor_378, Actor_000",Turkey,"September 14, 2018",2018,TV-MA,8 Seasons,"Thrillers, Horror Movies",2018-09-14,2018,9,8.0,2010s
s117,TV Show,Title 0116,Director_103,"Actor_055, Actor_031",Mexico,"February 12, 2020",2017,TV-Y7,1 Season,"Horror Movies, Action & Adventure, Documentaries",2020-02-12,2020,2,1.0,2010s
s118,Movie,Title 0117,Director_110,"Actor_209, Actor_378, Actor_049, Actor_112, Actor_060",India,"November 29, 2017",2023,G,84 min,"Romantic Movies, Anime Series, Documentaries",2017-11-29,2017,11,84.0,2020s
s119,TV Show,Title 0118,Director_171,"Actor_462, Actor_405, Actor_146, Actor_403",United States,"July 01, 2015",2000,TV-MA,3 Seasons,"Sci-Fi & Fantasy, Anime Series",2015-07-01,2015,7,3.0,2000s
s120,Movie,Title 0119,Director_068,"Actor_321, Actor_371, Actor_342, Actor_302, Actor_071",South Korea,"February 22, 2019",2017,R,168 min,"Reality TV, Music & Musicals, Anime Series",2019-02-22,2019,2,168.0,2010s
s121,TV Show,Title 0120,Director_101,"Actor_038, Actor_207, Actor_147, Actor_238, Actor_066",India,"June 21, 2017",1974,TV-PG,2 Seasons,"Comedies, Documentaries",2017-06-21,2017,6,2.0,1970s
s122,TV Show,Title 0121,Director_001,"Actor_309, Actor_449, Actor_070",Canada,"February 16, 2018",1983,TV-PG,3 Seasons,"Stand-Up Comedy, Crime TV Shows, Anime Series",2018-02-16,2018,2,3.0,1980s
s123,Movie,Title 0122,Director_167,"Actor_037, Actor_077, Actor_364",United States,"April 24, 2021",1961,R,173 min,"Stand-Up Comedy, International Movies",2021-04-24,2021,4,173.0,1960s
s124,Movie,Title 0123,Director_036,"Actor_098, Actor_172, Actor_199",Germany,"February 15, 2019",2023,PG-13,136 min,"Reality TV, Sports Movies",2019-02-15,2019,2,136.0,2020s
s125,Movie,Title 0124,Director_117,"Actor_307, Actor_103, Actor_306",United States,"December 31, 2021",2020,NR,174 min,"Horror Movies, Dramas, Action & Adventure",2021-12-31,2021,12,174.0,2020s
s126,Movie,Title 0125,Director_048,"Actor_218, Actor_034",India,"November 09, 2020",2020,G,174 min,Documentaries,2020-11-09,2020,11,174.0,2020s
s127,TV Show,Title 0126,Director_074,"Actor_114, Actor_314",United States,"June 25, 2020",2013,TV-G,8 Seasons,"Thrillers, Documentaries",2020-06-25,2020,6,8.0,2010s
s128,TV Show,Title 0127,Director_163,"Actor_390, Actor_350",India,"March 30, 2018",2003,TV-PG,1 Season,Thrillers,2018-03-30,2018,3,1.0,2000s
s129,Movie,Title 0128,Director_074,"Actor_150, Actor_467, Actor_110, Actor_100, Actor_046",Mexico,"May 29, 2015",1988,PG-13,148 min,Documentaries,2015-05-29,2015,5,148.0,1980s
s130,Movie,Title 0129,Director_197,"Actor_429, Actor_213, Actor_323, Actor_068, Actor_492",United States,"December 04, 2020",2002,PG-13,105 min,"Sports Movies, Horror Movies, Dramas",2020-12-04,2020,12,105.0,2000s
s131,Movie,Title 0130,Director_033,"Actor_365, Actor_291, Actor_099",India,"November 10, 2021",2008,PG,153 min,"Action & Adventure, Music & Musicals, Sci-Fi & Fantasy",2021-11-10,2021,11,153.0,2000s
s132,Movie,Title 0131,Director_057,"Actor_284, Actor_086",Spain,"February 25, 2022",2019,R,81 min,Crime TV Shows,2022-02-25,2022,2,81.0,2010s
s133,Movie,Title 0132,Director_110,"Actor_428, Actor_108, Actor_411, Actor_305, Actor_085",Mexico,"November 01, 2022",2014,R,168 min,"Reality TV, Documentaries, Romantic Movies",2022-11-01,2022,11,168.0,2010s
s134,Movie,Title 0133,Director_164,"Actor_365, Actor_081, Actor_136",Brazil,"September 23, 2020",1978,PG-13,112 min,"Action & Adventure, Thrillers, Romantic Movies",2020-09-23,2020,9,112.0,1970s
s135,TV Show,Title 0134,Director_095,"Actor_229, Actor_028, Actor_475, Actor_493, Actor_113",South Korea,"December 06, 2019",1966,TV-MA,2 Seasons,Stand-Up Comedy,2019-12-06,2019,12,2.0,1960s
